Clock_Round,Service_Area,Band,Bidder,bid_decision,No of block(s ) selecte d,prov_win_bid,Provisi onally Allocat ed Block( s) at end of clock round,prov_rank
2,Uttar Pradesh (West),800,Vodafone,No,0,0,0,0
2,Uttar Pradesh (West),900,Bharti,No,0,0,0,0
2,Uttar Pradesh (West),900,Jio,No,0,0,0,0
2,Uttar Pradesh (West),900,Vodafone,No,0,0,0,0
2,Uttar Pradesh (West),1800,Bharti,No,0,23,15,2
2,Uttar Pradesh (West),1800,Jio,No,0,23,25,1
2,Uttar Pradesh (West),1800,Vodafone,No,0,0,0,0
2,Uttar Pradesh (West),2100,Bharti,No,0,0,0,0
2,Uttar Pradesh (West),2100,Jio,No,0,0,0,0
2,Uttar Pradesh (West),2100,Vodafone,No,0,0,0,0
2,Uttar Pradesh (West),2300,Bharti,No,0,120,2,2
2,Uttar Pradesh (West),2300,Jio,No,0,120,2,1
2,Uttar Pradesh (West),2300,Vodafone,No,0,0,0,0
2,West Bengal,700,Bharti,No,0,0,0,0
2,West Bengal,700,Jio,No,0,0,0,0
2,West Bengal,700,Vodafone,No,0,0,0,0
2,West Bengal,800,Bharti,No,0,0,0,0
2,West Bengal,800,Jio,No,0,92.5,8,1
2,West Bengal,800,Vodafone,No,0,0,0,0
2,West Bengal,900,Bharti,No,0,24.8,14,1
2,West Bengal,900,Jio,No,0,0,0,0
2,West Bengal,900,Vodafone,No,0,0,0,0
2,West Bengal,1800,Bharti,No,0,0,0,0
2,West Bengal,1800,Jio,No,0,0,0,0
2,West Bengal,1800,Vodafone,No,0,0,0,0
2,West Bengal,2100,Bharti,No,0,175,1,1
2,West Bengal,2100,Jio,No,0,0,0,0
2,West Bengal,2100,Vodafone,No,0,0,0,0
2,West Bengal,2300,Bharti,No,0,60,1,2
2,West Bengal,2300,Jio,No,0,60,1,1
2,West Bengal,2300,Vodafone,No,0,0,0,0
3,Andhra Pradesh,700,Bharti,No,0,0,0,0
3,Andhra Pradesh,700,Jio,No,0,0,0,0
3,Andhra Pradesh,700,Vodafone,No,0,0,0,0
3,Andhra Pradesh,800,Bharti,No,0,0,0,0
3,Andhra Pradesh,800,Jio,No,0,487.5,5,1
3,Andhra Pradesh,800,Vodafone,No,0,0,0,0
3,Andhra Pradesh,900,Bharti,No,0,0,0,0
3,Andhra Pradesh,900,Jio,No,0,0,0,0
3,Andhra Pradesh,900,Vodafone,No,0,0,0,0
3,Andhra Pradesh,1800,Bharti,No,0,0,0,0
3,Andhra Pradesh,1800,Jio,No,0,55.8,21,1
3,Andhra Pradesh,1800,Vodafone,No,0,0,0,0
3,Andhra Pradesh,2100,Bharti,No,0,0,0,0
3,Andhra Pradesh,2100,Jio,No,0,0,0,0
3,Andhra Pradesh,2100,Vodafone,No,0,0,0,0
3,Andhra Pradesh,2300,Bharti,No,0,0,0,0
3,Andhra Pradesh,2300,Jio,No,0,780,1,1
3,Andhra Pradesh,2300,Vodafone,No,0,0,0,0
3,Andhra Pradesh,2500,Bharti,No,0,0,0,0
3,Andhra Pradesh,2500,Jio,No,0,0,0,0
