Clock_Round,Service_Area,Band,Bidder,bid_decision,No. of Block(s) Selected,prov_win_bid,Provisionally Allocated Block(s) at end of Clock Round,prov_rank
1,North East,800,Jio,no,0,0,0,0
1,North East,900,Vodafone,no,0,0,0,0
1,North East,900,Aircel,no,0,0,0,0
1,North East,900,Idea,no,0,0,0,0
1,North East,900, Tata Tele,no,0,0,0,0
1,North East,900,RCL,no,0,0,0,0
1,North East,900,Telewings,no,0,0,0,0
1,North East,900,Bharti,no,0,0,0,0
1,North East,900,Jio,no,0,0,0,0
1,North East,1800,Vodafone,no,0,0,0,0
1,North East,1800,Aircel,no,0,0,0,0
1,North East,1800,Idea,no,0,0,0,0
1,North East,1800, Tata Tele,no,0,0,0,0
1,North East,1800,RCL,no,0,0,0,0
1,North East,1800,Telewings,no,0,0,0,0
1,North East,1800,Bharti,no,0,0,0,0
1,North East,1800,Jio,no,0,0,0,0
